Rotation Data (1D Kymograph Signal [radians vs time]),
1mM/1mM_leu1m_1.tif,
20170413 17:11:32.860,
,
time (ms),cell0,
14890.0,298.294284544
14907.0,309.929247498
14924.0,308.095783838
14941.0,297.986494827
14958.0,223.144314177
14975.0,308.845714087
14992.0,311.364701845
15009.0,311.498003364
15026.0,309.215839995
15043.0,245.195715308
15060.0,174.618569674
15077.0,295.528082532
15093.0,309.421989657
15110.0,301.102743418
15127.0,268.481654071
15144.0,309.954678667
15161.0,309.750154926
15178.0,311.219593908
15195.0,310.578941019
15212.0,308.529163493
15229.0,280.637671478
15246.0,245.447522771
15263.0,276.32401694
15280.0,305.85349102
15297.0,308.395887414
15313.0,300.036883509
15330.0,298.618128592
15347.0,296.974481418
15364.0,310.33723318
15381.0,309.810132024
15398.0,311.640900694
15415.0,309.550622042
15432.0,266.814272525
15449.0,268.272256269
15466.0,261.553445825
15483.0,300.197892859
15500.0,304.061051151
15516.0,233.298994408
15533.0,309.952929053
15550.0,303.304247175
15567.0,311.128424204
15584.0,296.451648627
15601.0,277.036968303
15618.0,238.689013573
15635.0,302.183629721
15652.0,309.419222601
15669.0,300.368343767
15686.0,300.006644868
15703.0,298.578056461
15720.0,308.850657342
15736.0,311.461472751
15753.0,310.741007318
15770.0,309.292396385
15787.0,292.428031378
15804.0,261.686945713
15821.0,223.301760441
15838.0,251.728969621
15855.0,308.295723794
15872.0,301.073245575
15889.0,299.648553407
15906.0,297.079254229
15923.0,309.017970214
15940.0,311.592665419
15956.0,309.671592666
15973.0,294.447837249
15990.0,278.823332764
16007.0,262.611655332
16024.0,303.525151131
16041.0,309.679947342
16058.0,302.797787291
16075.0,260.376321031
16092.0,308.143314599
16109.0,308.099070985
16126.0,311.804796103
16143.0,308.549062029
16159.0,263.217475608
16176.0,224.430098003
16193.0,231.223966535
16210.0,308.145423733
16227.0,265.071342165
16244.0,255.494133333
16261.0,309.154121836
16278.0,310.879517728
16295.0,311.454546473
16312.0,308.89893616
16329.0,248.266034752
16346.0,126.997999774
16363.0,292.109612526
16379.0,308.31380209
16396.0,286.191550118
16413.0,225.469890362
16430.0,281.661745751
16447.0,309.741726072
16464.0,307.081304595
16481.0,170.131755268
16498.0,229.816679823
16515.0,303.230806543
16532.0,310.093265039
16549.0,304.354975431
16566.0,241.543088898
16583.0,305.542313206
16599.0,310.479269639
16616.0,303.654627187
16633.0,48.2333767883
16650.0,238.736144216
16667.0,306.800351021
16684.0,309.774621635
16701.0,273.724567452
16718.0,286.559804812
16735.0,309.701702473
16752.0,307.315863987
16769.0,43.7138598336
16786.0,235.764696532
16803.0,307.19285946
16819.0,309.754126759
16836.0,239.766110317
16853.0,286.936558732
16870.0,310.228418023
16887.0,305.44089666
16904.0,41.515560303
16921.0,228.575923035
16938.0,306.149815803
16955.0,309.702820098
16972.0,308.055216161
16989.0,234.823616106
17006.0,305.151845316
17022.0,310.496205594
17039.0,308.605509422
17056.0,214.432505339
17073.0,241.439373738
17090.0,308.19319287
17107.0,309.781499503
17124.0,298.907598717
17141.0,242.14218969
17158.0,308.471776967
17175.0,309.918792977
17192.0,310.521461365
17209.0,213.457768699
17226.0,265.673985511
17242.0,308.931561567
17259.0,308.470227628
17276.0,230.657757929
17293.0,299.970959845
17310.0,310.209666045
17327.0,306.281022148
17344.0,83.726339058
17361.0,237.175209399
17378.0,308.198247181
17395.0,309.996611442
17412.0,236.261466201
17429.0,262.171204414
17446.0,309.607652355
17462.0,309.597994827
17479.0,310.420470319
17496.0,225.473804551
17513.0,296.132976098
17530.0,309.710014113
17547.0,309.3399728
17564.0,230.124764802
17581.0,297.336055488
17598.0,310.287649016
17615.0,306.908172887
17632.0,54.3977145117
17649.0,230.271232146
17666.0,305.803649504
17682.0,309.698985909
17699.0,233.019722951
17716.0,266.248054825
17733.0,309.677572106
17750.0,309.093935766
17767.0,308.209642256
17784.0,226.638637302
17801.0,285.837638354
17818.0,305.181522998
17835.0,282.236960538
17852.0,133.104201507
17869.0,279.179078702
17885.0,287.335977888
17902.0,236.940554658
17919.0,310.931740388
17936.0,311.393367653
17953.0,311.358426776
17970.0,310.874433353
17987.0,309.682234936
18004.0,290.476682989
18021.0,261.8680965
18038.0,247.217664779
18055.0,301.538645385
18072.0,286.851897852
18089.0,253.827553674
18105.0,287.24808869
18122.0,310.792373095
18139.0,312.179818107
18156.0,310.956782994
18173.0,300.079432113
18190.0,224.702162665
18207.0,117.281380295
18224.0,291.338958967
18241.0,307.526321081
18258.0,250.678253207
18275.0,131.829301283
18292.0,310.987762803
18309.0,310.600468086
18325.0,312.433479506
18342.0,310.737063535
18359.0,301.102251747
18376.0,249.22888056
18393.0,122.966969034
18410.0,133.166491005
18427.0,295.708267941
18444.0,303.063603634
18461.0,306.563168891
18478.0,303.895617804
18495.0,287.020944311
18512.0,284.884624121
18528.0,213.850282918
18545.0,257.439141861
18562.0,254.549496008
18579.0,310.316391646
18596.0,310.451594955
18613.0,312.04229435
18630.0,311.900412596
18647.0,310.909027852
18664.0,310.382208434
18681.0,304.684323911
18698.0,266.434754067
